id,date,description,debit,credit,account_ref
BNK-000001,04/01/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"3.897,86",TEST216739
BNK-000002,04/01/2024,Ödəniş - Ulduz Tekstil,,"3.897,86",TEST216739
BNK-000003,24/02/2024,Malların dəyəri - Şəms MMC,,"176,63",TEST719176
BNK-000004,06/02/2024,  Xidmət haqqı - Xəzər Konsalting ,,"3.988,33",TEST717889
BNK-000005,30/11/2023,Ödəniş - Günəş...,,"2.001,91",TEST452944
BNK-000006,28/02/2024,Malların dəyəri - Günəş Ticarət MMC,,"2.821,37",TEST865179
BNK-000007,25/01/2024,Fatura ödənişi - Günəş Ticarət MMC,,"3.703,98",TEST705397
BNK-000008,18/02/2024,  Fatura ödənişi - Bahar Qida MMC ,,"1.467,38",TEST205907
BNK-000009,28/03/2024,Malların dəyəri - Günəş Ticarət MMC,,"3.407,57",TEST835911
BNK-000010,18/02/2024,Fatura ödənişi - Qızıl Balıq Restoranı,,"1.425,30",TEST584714
BNK-000011,16/12/2023,Ödəniş  -  ÖZNUR  Xidmətləri,,"4.230,75",TEST158655
BNK-000012,27/03/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"759,05",TEST514850
BNK-000013,15/03/2024,Mədaxil - İpək Yolu Ticarət,,"2.256,22",TEST883300
BNK-000014,07/01/2024,Xidmət haqqı - Günəş Ticarət MMC,,"4.524,65",TEST892495
BNK-000015,17/03/2024,Ödəniş - Zümrüd Logistika,,"2.463,92",TEST500156
BNK-000016,09/03/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"3.946,76",TEST814825
BNK-000017,05/03/2024,Ödəniş - Zümrüd Logistika,,"8.098,75",TEST376183
BNK-000018,22/03/2024,Mədaxil - İpək Yolu Ticarət,,"2.671,61",TEST982554
BNK-000019,01/03/2024,Ödəniş - Bahar Qida MMC,,"1.709,51",TEST656116
BNK-000020,08/01/2024,Malların dəyəri - İpək Yolu Ticarət,,"1.272,86",TEST351083
BNK-000021,01/03/2024,Xidmət haqqı - Zümrüd Logistika,,"4.974,21",TEST791798
BNK-000022,31/03/2024,Xidmət haqqı - Nərgiz Dizayn Studiyası,,"3.747,90",TEST891952
BNK-000023,28/02/2024,Ödəniş - Ulduz Tekstil,,"1.309,73",TEST642717
BNK-000024,21/03/2024,Fatura  ÖDƏNIŞI  -  Ulduz  Tekstil,,"318,66",TEST174441
BNK-000025,12/03/2024,Malların dəyəri - İpək Yolu Ticarət,,"3.802,45",TEST324643
