id,date,description,amount,account_ref
LGR-000001,2024-01-04,  Ödəniş - Nərgiz Dizayn Studiyası ,3897.86,TEST216739
LGR-000002,2024-01-04,Ödəniş - Ulduz Tekstil,3897.86,TEST216739
LGR-000003,2024-02-24,  Ödəniş - Şəms MMC ,176.63,TEST719176
LGR-000004,2024-03-24,Mədaxil - Zümrüd Logistika,3686.96,TEST308496
LGR-000005,2024-02-05,Xidmət haq...,3988.33,TEST717889
LGR-000006,2024-01-14,Ödəniş - Günəş Ticarət MMC,2001.91,TEST452944
LGR-000007,2024-02-28,Xidmət  haqqı  -  Günəş  Ticarət  MMC,2821.37,TEST865179
LGR-000008,2024-01-25,Ödəniş - Günəş Ticarət MMC,3703.98,TEST705397
LGR-000009,2024-02-18,  Fatura ödənişi - Bahar Qida MMC ,1467.38,TEST205907
LGR-000010,2024-03-28,Malların dəyəri - Günəş Ticarət MMC,3407.57,TEST835911
LGR-000011,2024-02-18,  Malların dəyəri - Qızıl Balıq Restoranı ,1425.30,TEST584714
LGR-000012,2024-01-30,Ödəniş - Öznur Xidmətləri,4230.75,TEST158655
LGR-000013,2024-03-23,  Mədaxil - Nərgiz Dizayn Studiyası ,759.05,TEST514850
LGR-000014,2024-03-15,Xidmət haqqı - İpək Yolu Ticarət,2256.22,TEST883300
LGR-000015,2024-01-07,Mədaxil - Günəş Ticarət MMC,4524.65,TEST892495
LGR-000016,2024-03-17,Fatura ödənişi - Zümrüd Logistika,2463.92,TEST500156
LGR-000017,2024-03-09,Fatura  ödənişi  -  NƏRGIZ  Dizayn  Studiyası,3946.76,TEST814825
LGR-000018,2024-03-05,Ödəniş - Zümrüd Logistika,8089.75,TEST376183
LGR-000019,2024-03-22,  Mədaxil - İpək Yolu Ticarət ,2671.61,TEST982554
LGR-000020,2024-01-01,Ödəniş  -  bahar  Qida  MMC,1709.51,TEST656116
LGR-000021,2024-01-08,Ödəniş  -  İpək  yolu  Ticarət,1272.86,TEST351083
LGR-000022,2024-03-01,Mədaxil - Zümrüd Logistik...,4974.21,TEST791798
LGR-000023,2024-03-29,Xidmət haqqı - Nərgiz Dizayn Studiyası,3747.90,TEST891952
LGR-000024,2024-02-27,Ödəniş - Uldu...,1309.73,TEST642717
LGR-000025,2024-03-21,Ödəniş - Ulduz Tekstil,318.66,TEST174441
LGR-000026,2024-03-10,Malların dəyəri - İpək Yolu Ticarət,3802.45,TEST324643
LGR-000027,2024-01-13,Xidmət haqqı - Qızıl Balıq Restoranı,518.19,TEST299659
LGR-000028,2024-03-27,Ödəniş  -  günəş  Ticarət  MMC,3435.98,TEST156802
LGR-000029,2024-02-24,Mədaxil - Bahar Qida MMC,1470.37,TEST246991
LGR-000030,2024-01-02,Ödəniş - Ulduz Tekstil,498.96,TEST666847
LGR-000031,2024-01-02,Ödəniş - Xəzər Konsalting,498.96,TEST666847
LGR-000032,2024-01-01,Xidmət haqqı - Nərgiz Dizayn Studiyas...,2056.93,TEST497382
LGR-000033,2024-03-15,Ödəniş - Zümrüd Logistika,3867.38,TEST161324
LGR-000034,2024-01-08,Ödəniş - Xəzər Konsalting,430.01,TEST265080
LGR-000035,2024-01-16,Mədaxil - İpək Yolu Ticarət,4946.67,TEST523389
LGR-000036,2024-03-15,Fatura ödənişi - Zümrüd Logistika,2973.41,TEST789305
LGR-000037,2024-02-03,Fatura ödənişi - Xəzər Konsalting,2085.05,TEST350280
LGR-000038,2024-02-03,Ödəniş - Öznur Xidmətləri,704.45,TEST630458
LGR-000039,2024-02-08,Malların  dəyəri  -  Qızıl  BALIQ  Restoranı,4241.52,TEST837715
LGR-000040,2024-01-15,  Malların dəyəri - Günəş Ticarət MMC ,4674.65,TEST377312
